,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Francois,FR,46.4154,3.9054,71.04,68,40,5.75,scattered clouds
79,Longyearbyen,SJ,78.2186,15.6401,48.04,71,75,13.8,broken clouds
80,Rio Gallegos,AR,-51.6226,-69.2181,35.65,60,0,26.46,clear sky
81,Hirado,JP,33.3597,129.5531,81.41,84,89,11.59,light rain
82,Port Alfred,ZA,-33.5906,26.891,63.34,73,53,13.91,broken clouds
83,Namatanai,PG,-3.6667,152.4333,78.06,83,21,7.2,moderate rain
84,East London,ZA,-33.0153,27.9116,67.14,72,20,11.5,few clouds
85,Yulara,AU,-25.2406,130.9889,53.44,37,0,6.91,clear sky
86,Esperance,AU,-33.8667,121.9,64.24,64,100,19.26,overcast clouds
87,Nanortalik,GL,60.1432,-45.2371,48.31,77,100,16.55,overcast clouds
88,Pevek,RU,69.7008,170.3133,39.36,86,36,7.02,scattered clouds
89,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,100,75,4.47,broken clouds
90,New Norfolk,AU,-42.7826,147.0587,38.71,83,63,2.62,broken clouds
91,Ambilobe,MG,-13.2,49.05,72.99,75,44,4.09,light rain
92,Santa Fe,AR,-31.6333,-60.7,75.99,58,0,5.01,clear sky
93,Oytal,KZ,42.9057,73.2697,82.17,25,58,3.0,broken clouds
94,Jizan,SA,17.3333,42.6667,81.54,42,100,10.65,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,68.07,90,90,9.22,overcast clouds
96,Mpanda,TZ,-6.3655,31.0409,88.36,21,58,6.64,broken clouds
97,Barao De Melgaco,BR,-16.1944,-55.9675,93.72,18,5,7.63,clear sky
98,Hilo,US,19.7297,-155.09,73.13,90,90,5.75,light rain
99,Zhigalovo,RU,54.8097,105.1578,55.18,96,35,3.89,scattered clouds
100,Hualmay,PE,-11.0964,-77.6139,66.31,73,58,10.36,broken clouds
101,Darhan,MN,49.4867,105.9228,61.54,75,94,2.51,overcast clouds
